Target Value,A,B,C,D,E,Timestamp,Elapsed Time (s),Time Delta (s)
2.31,-1.51,-0.47,2.54,2.67,0.77,2024-11-12 15:07:07,20.877,20.877
2.31,-1.51,-0.47,2.54,2.67,0.77,2024-11-12 15:07:07,0.0,0.0
-1.64,-0.42,1.12,1.18,0.09,1.0,2024-11-12 15:07:07,20.878,0.001
-1.64,-0.42,1.12,1.18,0.09,1.0,2024-11-12 15:07:07,0.0,0.0
-816.3,2.94,1.49,-4.92,3.95,-1.59,2024-11-12 15:07:07,20.878,0.0
-816.3,2.94,1.49,-4.92,3.95,-1.59,2024-11-12 15:07:07,0.001,0.0
-3.3,0.45,-1.54,0.93,1.11,0.7,2024-11-12 15:07:07,21.083,0.205
-3.3,0.45,-1.54,0.93,1.11,0.7,2024-11-12 15:07:07,0.206,0.206
-1.34,0.47,-0.73,-2.33,2.02,-0.13,2024-11-12 15:07:07,21.221,0.138
-1.34,0.47,-0.73,-2.33,2.02,-0.13,2024-11-12 15:07:07,0.344,0.137
-125.25,0.6,0.39,0.51,3.32,2.0,2024-11-12 15:07:08,21.359,0.138
-125.25,0.6,0.39,0.51,3.32,2.0,2024-11-12 15:07:08,0.482,0.138
